OUI,NAME
001CC5,3Com Ltd
000732,AAEON Technology Inc.
00190F,Advansus Corp.
00D0C9,ADVANTECH CO., LTD.
74FE48,ADVANTECH CO., LTD.
000BAB,Advantech Technology (CHINA) Co., Ltd.
C400AD,Advantech Technology (CHINA) Co., Ltd.
080066,AGFA CORPORATION
000299,Apex, Inc.
008066,ARCOM CONTROL SYSTEMS, LTD.
00187D,Armorlink Co .Ltd
74D02B,ASUSTek COMPUTER INC.
E03F49,ASUSTek COMPUTER INC.
000AF7,Broadcom
001018,Broadcom
00B0D0,Dell Inc.
001395,congatec AG
000D05,cybernet manufacturing inc.
004097,DATEX DIVISION OF
F01FAF,Dell Inc.
0019B9,Dell Inc.
3417EB,Dell Inc.
90B11C,Dell Inc.
44A842,Dell Inc.
842B2B,Dell Inc.
BC305B,Dell Inc.
00096B,IBM Corp
001EC9,Dell Inc.
509A4C,Dell Inc.
000129,DFI Inc.
00409D,DigiBoard
00016C,FOXCONN
001999,Fujitsu Technology Solutions GmbH
901B0E,Fujitsu Technology Solutions GmbH
ECB1D7,Hewlett Packard
40A8F0,Hewlett Packard
9C8E99,Hewlett Packard
00306E,Hewlett Packard
78ACC0,Hewlett Packard
8CDCD4,Hewlett Packard
D89D67,Hewlett Packard
645106,Hewlett Packard
001871,Hewlett Packard
DC4A3E,Hewlett Packard
480FCF,Hewlett Packard
78E7D1,Hewlett Packard
68B599,Hewlett Packard
D48564,Hewlett Packard
A45D36,Hewlett Packard
A0481C,Hewlett Packard
C4346B,Hewlett Packard
B4B52F,Hewlett Packard
0019BB,Hewlett Packard
24BE05,Hewlett Packard
E83935,Hewlett Packard
001635,Hewlett Packard
A0D3C1,Hewlett Packard
40B034,Hewlett Packard
5065F3,Hewlett Packard
6C3BE5,Hewlett Packard
0017A4,Hewlett Packard
001185,Hewlett Packard
30E171,Hewlett Packard
C8D9D2,Hewlett Packard
10E7C6,Hewlett Packard
001083,Hewlett Packard
5CF3FC,IBM Corp
000012,INFORMATION TECHNOLOGY LIMITED
00D023,INFORTREND TECHNOLOGY, INC.
00E0F4,INSIDE Technology A/S
001E67,Intel Corporate
6805CA,Intel Corporate
001B21,Intel Corporate
A0369F,Intel Corporate
000E0C,Intel Corporation
E09D31,Intel Corporate
000423,Intel Corporation
001111,Intel Corporation
003018,"Jetway Information Co., Ltd."
00108D,"Johnson Controls, Inc."
EC13DB,Juniper Networks
3C6104,Juniper Networks
F01C2D,Juniper Networks
5C5EAB,Juniper Networks
100E7E,Juniper Networks
88A25E,Juniper Networks
00900B,LANNER ELECTRONICS, INC.
D43D7E,'Micro-Star Int"l Co, Ltd'
0090E8,MOXA TECHNOLOGIES CORP., LTD.
000FB5,NETGEAR
00E081,TYAN COMPUTER CORP.
00144F,Oracle Corporation
7C0507,PEGATRON CORPORATION
54B203,PEGATRON CORPORATION
008082,PEP MODULAR COMPUTERS GMBH
00C09F,QUANTA COMPUTER INC.
000050,RADISYS CORPORATION
78593E,RAFI GmbH &amp; Co.KG
004017,Silex Technology America
008092,Silex Technology, Inc.
00D056,SOMAT CORPORATION
0008FB,"SonoSite, Inc."
0CC47A,Super Micro Computer, Inc.
002590,Super Micro Computer, Inc.
00A0A5,TEKNOR MICROSYSTEME, INC.
0001F0,Tridium, Inc.
000667,Tripp Lite
FC4DD4,Universal Global Scientific Industrial Co., Ltd.
C47DCC,Zebra Technologies Inc
6C2B59,Dell Inc.
84248D,Zebra Technologies Inc
009C02,Hewlett Packard
001517,Intel Corporate
44E49A,OMNITRONICS PTY LTD
00907A,Spectralink, Inc
00013E,Ascom Tateco AB
94FB29,Zebra Technologies Inc.
F4CFE2,"Cisco Systems, Inc"